I'll help you implement the necessary changes to add the `fill_value` parameter to `IterativeImputer`. Let's start by exploring the repository structure to understand how the code is organized.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(impute|iterative)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/impute/__init__.py
/testbed/sklearn/impute/tests/__init__.py
/testbed/sklearn/impute/tests/test_knn.py
/testbed/sklearn/impute/tests/test_common.py
/testbed/sklearn/impute/tests/test_impute.py
/testbed/sklearn/impute/tests/test_base.py
/testbed/sklearn/impute/_knn.py
/testbed/sklearn/impute/_base.py
/testbed/sklearn/impute/_iterative.py
/testbed/sklearn/experimental/tests/test_enable_iterative_imputer.py
/testbed/sklearn/experimental/enable_iterative_imputer.py
/testbed/examples/impute/plot_iterative_imputer_variants_comparison.py
/testbed/examples/impute/plot_missing_values.py</function_results>

Great! Let's look at the structure of the impute module:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/impute, excluding hidden items and node_modules:
179K	/testbed/sklearn/impute
1.0K	/testbed/sklearn/impute/__init__.py
39K	/testbed/sklearn/impute/_base.py
34K	/testbed/sklearn/impute/_iterative.py
14K	/testbed/sklearn/impute/_knn.py
87K	/testbed/sklearn/impute/tests
0	/testbed/sklearn/impute/tests/__init__.py
3.5K	/testbed/sklearn/impute/tests/test_base.py
6.5K	/testbed/sklearn/impute/tests/test_common.py
57K	/testbed/sklearn/impute/tests/test_impute.py
17K	/testbed/sklearn/impute/tests/test_knn.py
</function_results>

Let's examine the `IterativeImputer` implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_iterative.py with line numbers:
     1	from time import time
     2	from collections import namedtuple
     3	from numbers import Integral, Real
     4	import warnings
     5	
     6	from scipy import stats
     7	import numpy as np
     8	
     9	from ..base import clone
    10	from ..exceptions import ConvergenceWarning
    11	from ..preprocessing import normalize
    12	from ..utils import (
    13	    check_array,
    14	    check_random_state,
    15	    is_scalar_nan,
    16	    _safe_assign,
    17	    _safe_indexing,
    18	)
    19	from ..utils.validation import FLOAT_DTYPES, check_is_fitted
    20	from ..utils.validation import _check_feature_names_in
    21	from ..utils._mask import _get_mask
    22	from ..utils._param_validation import HasMethods, Interval, StrOptions
    23	
    24	from ._base import _BaseImputer
    25	from ._base import SimpleImputer
    26	from ._base import _check_inputs_dtype
    27	
    28	
    29	_ImputerTriplet = namedtuple(
    30	    "_ImputerTriplet", ["feat_idx", "neighbor_feat_idx", "estimator"]
    31	)
    32	
    33	
    34	def _assign_where(X1, X2, cond):
    35	    """Assign X2 to X1 where cond is True.
    36	
    37	    Parameters
    38	    ----------
    39	    X1 : ndarray or dataframe of shape (n_samples, n_features)
    40	        Data.
    41	
    42	    X2 : ndarray of shape (n_samples, n_features)
    43	        Data to be assigned.
    44	
    45	    cond : ndarray of shape (n_samples, n_features)
    46	        Boolean mask to assign data.
    47	    """
    48	    if hasattr(X1, "mask"):  # pandas dataframes
    49	        X1.mask(cond=cond, other=X2, inplace=True)
    50	    else:  # ndarrays
    51	        X1[cond] = X2[cond]
    52	
    53	
    54	class IterativeImputer(_BaseImputer):
    55	    """Multivariate imputer that estimates each feature from all the others.
    56	
    57	    A strategy for imputing missing values by modeling each feature with
    58	    missing values as a function of other features in a round-robin fashion.
    59	
    60	    Read more in the :ref:`User Guide <iterative_imputer>`.
    61	
    62	    .. versionadded:: 0.21
    63	
    64	    .. note::
    65	
    66	      This estimator is still **experimental** for now: the predictions
    67	      and the API might change without any deprecation cycle. To use it,
    68	      you need to explicitly import `enable_iterative_imputer`::
    69	
    70	        >>> # explicitly require this experimental feature
    71	        >>> from sklearn.experimental import enable_iterative_imputer  # noqa
    72	        >>> # now you can import normally from sklearn.impute
    73	        >>> from sklearn.impute import IterativeImputer
    74	
    75	    Parameters
    76	    ----------
    77	    estimator : estimator object, default=BayesianRidge()
    78	        The estimator to use at each step of the round-robin imputation.
    79	        If `sample_posterior=True`, the estimator must support
    80	        `return_std` in its `predict` method.
    81	
    82	    missing_values : int or np.nan, default=np.nan
    83	        The placeholder for the missing values. All occurrences of
    84	        `missing_values` will be imputed. For pandas' dataframes with
    85	        nullable integer dtypes with missing values, `missing_values`
    86	        should be set to `np.nan`, since `pd.NA` will be converted to `np.nan`.
    87	
    88	    sample_posterior : bool, default=False
    89	        Whether to sample from the (Gaussian) predictive posterior of the
    90	        fitted estimator for each imputation. Estimator must support
    91	        `return_std` in its `predict` method if set to `True`. Set to
    92	        `True` if using `IterativeImputer` for multiple imputations.
    93	
    94	    max_iter : int, default=10
    95	        Maximum number of imputation rounds to perform before returning the
    96	        imputations computed during the final round. A round is a single
    97	        imputation of each feature with missing values. The stopping criterion
    98	        is met once `max(abs(X_t - X_{t-1}))/max(abs(X[known_vals])) < tol`,
    99	        where `X_t` is `X` at iteration `t`. Note that early stopping is only
   100	        applied if `sample_posterior=False`.
   101	
   102	    tol : float, default=1e-3
   103	        Tolerance of the stopping condition.
   104	
   105	    n_nearest_features : int, default=None
   106	        Number of other features to use to estimate the missing values of
   107	        each feature column. Nearness between features is measured using
   108	        the absolute correlation coefficient between each feature pair (after
   109	        initial imputation). To ensure coverage of features throughout the
   110	        imputation process, the neighbor features are not necessarily nearest,
   111	        but are drawn with probability proportional to correlation for each
   112	        imputed target feature. Can provide significant speed-up when the
   113	        number of features is huge. If `None`, all features will be used.
   114	
   115	    initial_strategy : {'mean', 'median', 'most_frequent', 'constant'}, \
   116	            default='mean'
   117	        Which strategy to use to initialize the missing values. Same as the
   118	        `strategy` parameter in :class:`~sklearn.impute.SimpleImputer`.
   119	
   120	    imputation_order : {'ascending', 'descending', 'roman', 'arabic', \
   121	            'random'}, default='ascending'
   122	        The order in which the features will be imputed. Possible values:
   123	
   124	        - `'ascending'`: From features with fewest missing values to most.
   125	        - `'descending'`: From features with most missing values to fewest.
   126	        - `'roman'`: Left to right.
   127	        - `'arabic'`: Right to left.
   128	        - `'random'`: A random order for each round.
   129	
   130	    skip_complete : bool, default=False
   131	        If `True` then features with missing values during :meth:`transform`
   132	        which did not have any missing values during :meth:`fit` will be
   133	        imputed with the initial imputation method only. Set to `True` if you
   134	        have many features with no missing values at both :meth:`fit` and
   135	        :meth:`transform` time to save compute.
   136	
